WigleWifi-1.4,appRelease=2.26,model=Nexus 5,release=6.0.1,device=hammerhead,display=M4B30Z,board=hammerhead,brand=google
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:36:54,6,-81,32.10362199,35.20935268,692,16,WIFI
8c:0c:90:ae:16:83,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:36:54,8,-82,32.10362199,35.20935268,692,16,WIFI
8c:0c:90:6e:16:88,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:36:54,8,-82,32.10362199,35.20935268,692,16,WIFI
1c:b9:c4:16:12:ec,Ariel_University,[ESS],2017-11-07 16:36:54,36,-85,32.10362199,35.20935268,692,16,WIFI
1c:b9:c4:16:12:e8,Ariel_University,[ESS],2017-11-07 16:36:54,11,-83,32.10362199,35.20935268,692,16,WIFI
1c:b9:c4:16:12:ec,Ariel_University,[ESS],2017-11-07 16:37:01,36,-68,32.10365343,35.2094571,692,18,WIFI
1c:b9:c4:16:12:e8,Ariel_University,[ESS],2017-11-07 16:37:01,11,-71,32.10365343,35.2094571,692,18,WIFI
1c:b9:c4:96:12:e7,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:01,36,-70,32.10365343,35.2094571,692,18,WIFI
1c:b9:c4:16:12:ec,Ariel_University,[ESS],2017-11-07 16:37:01,36,-60,32.10365343,35.2094571,692,18,WIFI
1c:b9:c4:16:12:e8,Ariel_University,[ESS],2017-11-07 16:37:01,11,-65,32.10365343,35.2094571,692,18,WIFI
1c:b9:c4:15:0f:38,Ariel_University,[ESS],2017-11-07 16:37:01,1,-90,32.10365343,35.2094571,692,18,WIFI
a0:8c:fd:0a:24:56,DIRECT-13-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:20,6,-86,32.10367277,35.20957627,692,12,WIFI
1c:b9:c4:15:ed:b8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:37:20,1,-87,32.10367277,35.20957627,692,12,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-07 16:37:20,6,-83,32.10367277,35.20957627,692,12,WIFI
1c:b9:c4:16:ed:4c,Ariel_University,[ESS],2017-11-07 16:37:20,36,-91,32.10367277,35.20957627,692,12,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-07 16:37:20,1,-91,32.10367277,35.20957627,692,12,WIFI
1c:b9:c4:15:ed:b8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:37:24,1,-77,32.10370551,35.20960778,698,8,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-07 16:37:24,6,-73,32.10370551,35.20960778,698,8,WIFI
1c:b9:c4:16:ed:4c,Ariel_University,[ESS],2017-11-07 16:37:24,36,-78,32.10370551,35.20960778,698,8,WIFI
